	2003	2005	2007	2011	2015
Schweiz	95.2	96.4	96.0	96.2	96.6
Ausland	93.5	94.2	95.9	94.3	96.5
18-29 J.	91.0	96.8	96.6	96.6	97.9
30-39 J.	93.4	94.6	94.2	95.3	91.3
40-49 J.	95.8	95.5	95.7	95.8	97.1
50-59 J.	97.0	95.7	95.6	94.1	97.7
60-69 J.	95.3	94.6	96.1	96.6	96.3
>69 J.	96.0	99.2	97.1	96.9	97.0
Männer	95.8	96.7	96.9	96.9	96.9
Frauen	94.2	95.6	95.3	95.2	96.3
Total	94.9	96.1	96.0	95.9	96.6
