	2003	2005	2007	2011	2015					
Innenstadt	70.4	64.1	78.8	80.6	92.6
Am Ring West	86.4	89.1	91.1	92.6	95.1
St. Alban Breite	87.6	86.6	87.4	94.2	94.4
St. Johann	77.5	85.2	79.1	88.1	95.0
Gundel-dingen	70.3	67.5	73.4	76.5	77.2
Bruderholz	90.6	92.3	93.1	96.8	92.7
Unteres Kleinbasel	65.3	60.7	58.9	72.5	77.2
OberesKleinbasel	87.7	85.0	85.3	88.3	92.2
Bettingen & Riehen	97.8	94.4	95.1	98.3	98.2
Basel-Stadt	83.2	82.5	83.7	89.1	91.7
