	2000	2004	2007	2010	2013
Schweiz	41.6	44.6	37.5	35.6	35.4
Ausland	25.4	20.4	20.2	27.0	19.0					
15-24 J.	28.9	30.7	28.1	39.6	25.3
25-39 J.	41.4	37.7	30.8	25.6	27.2
40-54 J.	36.8	44.7	38.4	40.0	31.6
55-64 J.	47.5	45.0	33.2	39.9	40.0
65 J. u.m.	33.8	31.2	30.1	24.8	25.5						
Männer	39.6	40.6	32.3	34.4	28.1
Frauen	35.7	35.7	32.7	31.0	30.6
Total	37.5	38.0	32.5	32.6	29.5
