Jahr	Pzt Einwohner Tag	Pzt Einwohner Nacht	Pzt Einwohner Nacht 50dB
2000	13.384729851667	17.079580173819	26.026479232957
2003	14.929038143323	19.451398022826	25.695298909584
2008	14.49703829067	16.261370848318	24.634017347154
