Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	67.647058823529	60.158311345646	51.77304964539	57.058823529411	63.432835820895	72.368421052631	60.235131396957
2005	59.139784946236	55.555555555555	66.206896551724	55.428571428571	61.818181818181	65.306122448979	58.520027155465
2007	52.564102564102	52.777777777777	54.430379746835	44.502617801047	41.984732824427	57.788944723618	52.510176390773
2011	69.696969696969	74.418604651162	72.189349112426	63.888888888888	76.146788990825	89.42731277533	74.916387959866
2015	90.90909090909	80.940594059405	81.528662420382	79.166666666666	86.065573770491	89.912280701754	82.561307901907
