	2003	2005	2007	2011	2015
Schweiz	79.1	83.6	81.1	84.4	86.3
Ausland	83.5	81.2	82.2	86.4	90.8
18-29 J.	83.5	87.9	86.3	88.1	91.6
30-39 J.	74.3	75.4	78.9	78.8	81.7
40-49 J.	73.0	77.3	74.1	81.3	79.8
50-59 J.	78.3	84.0	77.8	84.8	83.7
60-69 J.	85.2	85.4	82.6	85.9	88.4
>69 J.	84.2	90.2	85.8	86.9	90.2
Männer	82.8	85.1	81.4	85.5	87.8
Frauen	77.0	81.7	81.0	84.1	86.0
Total	79.7	83.3	81.2	84.7	86.8
