Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	81.666666666666	87.031700288184	82.4	79.354838709677	92.5	85.446009389671	84.539223153084
2005	81.818181818181	88.471177944862	85.496183206106	72.35294117647	82.142857142857	80.54054054054	82.361411087113
2007	89.0625	87.465940054495	86.330935251798	78.453038674033	90.756302521008	88.709677419354	85.682656826568
2011	74.603174603174	91.293532338308	87.662337662337	86.046511627906	93.333333333333	89.767441860465	88.920454545454
2015	90	90.858725761772	91.970802919708	86.330935251798	92.372881355932	93.896713615023	90.794357832219
