Jahr	Innenstadt	Am Ring	St Alban	Unteres Kleinbasel	Oberes Kleinbasel	Riehen-Bettingen	Basel-Stadt
2003	89.705882352941	89.757412398921	94.160583941605	93.939393939393	90.551181102362	89.823008849557	90.696022727272
2005	92.473118279569	87.943262411347	87.323943661971	88.304093567251	91.509433962264	95.3125	90.02079002079
2007	93.670886075949	90	96.73202614379	82.857142857142	96.825396825396	92.424242424242	90.53583855254
2011	95.384615384615	92.583732057416	94.082840236686	89.080459770114	94.495412844036	94.594594594594	93.032786885245
2015	97.101449275362	94.344473007712	94.736842105263	94.444444444444	100	95.022624434389	94.710860366713
