Jahr	zu Fuss	 Velo	 MIV	 ÖV	 Übrige Verkehrsmittel	Total								
2005<br/>in % der Anzahl Etappen	49.7	7.7	26.5	15.2	0.9	100.0
2010<br/>in % der Anzahl Etappen	49.7	7.6	23.1	18.6	1.0	100.0
