Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	61.403508771929	69.032258064516	73.275862068965	66	71.428571428571	63.186813186813	66.808149405772
2005	69.047619047619	65.459610027855	68.292682926829	64.150943396226	70.652173913043	69.512195121951	67.061611374407
2007	71.428571428571	77.316293929712	75.757575757575	71.604938271604	71.681415929203	78.75	75.226337448559
2011	52.542372881355	76.485788113695	71.974522292993	73.96449704142	72.340425531914	73.631840796019	73.068267066766
2015	52	63.897763578274	59.541984732824	55.905511811023	57.407407407407	65.088757396449	59.375
