	Apparate und Präzisionsinstrumente	    davon Medizinaltechnik	Chemie (ohne Pharma und Biotech.)	Pharma und Biotechnologie	Maschinenbau	Elektrotechnik							
Basel-Stadt	0.101	0.035	0.320	0.294	0.027	0.029
Basel-Landschaft	0.135	0.055	0.180	0.240	0.073	0.025
Zürich	0.116	0.039	0.078	0.038	0.134	0.119
