Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	97.222222222222	96.446700507614	93.877551020408	92.613636363636	97.122302158273	99.137931034482	95.983935742971
2005	98.936170212765	95.936794582392	96.666666666666	93.922651933701	88.59649122807	100	96.090125911199
2007	95	96.543209876543	95.031055900621	93.264248704663	98.518518518518	97.560975609756	96.010638297872
2011	95.522388059701	97.465437788018	97.674418604651	98.351648351648	99.099099099099	99.567099567099	98.150594451783
2015	98.529411764705	98.058252427184	98.136645962732	94.594594594594	96.899224806201	98.695652173913	97.266666666666
