Jahr	Allgemeine Verwaltung	Öffentliche Ordnung und Sicherheit	Bildung	Kultur, Sport und Freizeit, Kirche	Gesundheit	Soziale Sicherheit	Verkehr	Umweltschutz und Raumordnung	Volkswirtschaft	Finanzen und Steuern
2006	54963895.79	337096950.79	1037209124.24	80385348.93	2008024518.12	405080333.97	372670706.16	202035287.39	333188875.96	5292661266.19
2007	91532473.04	342070546.22	1430315607.13	94887568.56	2031042719.01	426927938.16	280880493.96	246538439.26	353909059.15	5554891270.18
2008	-20007088.9104004	134215586.222656	549488436.010249	85164390.6396484	62754796.2939453	188100662.195801	128839103.897461	121187131.923809	191892188.103437	3081752688.10938
2009	106810325.645996	124526931.066406	552999746.024486	32672713.5066195	65994212.6813965	231920346.681328	86201332.8057861	88288753.8129578	196691568.571594	2685600062.0625
2010	65169572.7597656	124649225.044434	606731637.913697	34350169.3809586	60219397.6503906	228745132.557922	69830397.2227783	84468753.965332	159624729.462036	2909543923.84375
2011	154724286.793486	124552763.987012	579562952.10899	38598538.5245361	53213460.5834961	232263740.879875	69019715.1584473	84846628.8577881	167068572.16748	2806543178.59375
2012	70807898.9475708	133718371.981445	608530677.681648	55139317.4746413	29788770.8305664	244581326.880615	66428700.2890625	84156772.8183594	149751341.239166	2833750505.46875
2013	297388885.827393	130085255.867641	605806601.071033	43950385.6890869	60252908.290329	273590698.293579	62429569.7496095	102002546.57827	139760853.80242	2896800187.42969
2014	301882192.418164	139935116.132278	651774577.263653	51101259.5868859	19643289.9110336	316982475.12085	70677233.605957	91542623.6746173	133340936.863773	3012274919.0918
