Jahr	CO2-Emissionen pro Kopf	Tonnen CO2	Bevölkerung
2010	4.20214345589132	799806.570390162	190333
2012	4.30039173788325	831949.485219155	193459
2014	3.84328875743155	755094.785461333	196471
