Muba	Baselworld	Basler Herbstwarenmesse	Swissbau	Art Basel	Igeho
336974	94200	120000	56000	
328712	101700	120000	119774	60000	80240
302415	106800	120000	60000	
303288	93900	120000	61000	78074
301520	100700	125000	108269	62500	
303846	103200	94682	65000	74727
304200	104300	95000	115111	65000	
159824	122000	90000	86000	75781
163642	150000	70000	104156	92000	
132234	150000	75000	98000	70927
