Jahr	Innenstadt	Am Ring	St Alban	Unteres	Oberes	Riehen-Bettingen	Basel-Stadt
2003	70.422535211267	86.410256410256	87.586206896551	65.340909090909	87.681159420289	97.835497835497	83.232323232323
2005	64.130434782608	89.090909090909	86.577181208053	60.67415730337	84.955752212389	94.444444444444	82.454969979986
2007	78.75	91.111111111111	87.421383647798	58.947368421052	85.294117647058	95.121951219512	83.733333333333
2011	80.597014925373	92.626728110599	94.152046783625	72.527472527472	88.288288288288	98.268398268398	89.072847682119
2015	92.647058823529	95.121951219512	94.444444444444	77.181208053691	92.1875	98.245614035087	91.716766867067
