	Apparate und Präzisionsinstrumente	Chemie (ohne Pharma und Biotech.)	Pharma und Biotechnologie	Maschinenbau	Elektrotechnik						
Basel-Stadt	0.138	0.224	0.377	0.057	0.048
Basel-Landschaft	0.134	0.134	0.220	0.086	0.046
Zürich	0.128	0.107	0.036	0.151	0.133
